date,fips,county,retail_and_recreation,grocery_and_pharmacy,parks,transit_stations,workplaces,residential
2020-02-15,12001,Alachua,3.0,2.0,4.0,-3.0,0.0,-1.0
2020-02-15,12003,Baker,4.0,9.0,,,-1.0,
2020-02-15,12005,Bay,16.0,6.0,71.0,22.0,3.0,-2.0
2020-02-15,12007,Bradford,4.0,1.0,,,-2.0,
2020-02-15,12009,Brevard,4.0,0.0,6.0,18.0,1.0,0.0
2020-02-15,12011,Broward,-4.0,-5.0,-23.0,-4.0,-2.0,2.0
2020-02-15,12013,Calhoun,0.0,-4.0,,,,
2020-02-15,12015,Charlotte,2.0,1.0,5.0,0.0,-3.0,0.0
2020-02-15,12017,Citrus,6.0,6.0,9.0,,-1.0,0.0
2020-02-15,12019,Clay,4.0,-1.0,12.0,,-2.0,-1.0
2020-02-15,12021,Collier,4.0,2.0,11.0,2.0,-2.0,0.0
2020-02-15,12023,Columbia,6.0,0.0,,12.0,4.0,-2.0
2020-02-15,12027,DeSoto,2.0,5.0,17.0,,2.0,
2020-02-15,12029,Dixie,126.0,20.0,,,-2.0,
2020-02-15,12031,Duval,2.0,0.0,10.0,5.0,-1.0,-1.0
2020-02-15,12033,Escambia,5.0,0.0,63.0,15.0,3.0,-1.0
2020-02-15,12035,Flagler,8.0,6.0,11.0,,0.0,0.0
2020-02-15,12037,Franklin,24.0,10.0,,,-6.0,
2020-02-15,12039,Gadsden,1.0,-4.0,,2.0,1.0,
2020-02-15,12041,Gilchrist,6.0,5.0,,,3.0,
2020-02-15,12043,Glades,,,-37.0,4.0,-2.0,
2020-02-15,12045,Gulf,5.0,10.0,,,0.0,
2020-02-15,12047,Hamilton,,-9.0,,11.0,,
2020-02-15,12049,Hardee,12.0,-18.0,41.0,,-3.0,
2020-02-15,12051,Hendry,3.0,2.0,-12.0,,-1.0,
2020-02-15,12053,Hernando,2.0,7.0,15.0,,1.0,-1.0
2020-02-15,12055,Highlands,4.0,-2.0,-4.0,,-1.0,0.0
2020-02-15,12057,Hillsborough,8.0,2.0,25.0,0.0,1.0,-1.0
2020-02-15,12059,Holmes,1.0,8.0,,,4.0,
2020-02-15,12061,Indian River,4.0,-1.0,-12.0,-2.0,-6.0,0.0
2020-02-15,12063,Jackson,3.0,-3.0,,5.0,1.0,
2020-02-15,12065,Jefferson,-9.0,3.0,,,,
2020-02-15,12069,Lake,9.0,-2.0,12.0,9.0,1.0,-1.0
2020-02-15,12071,Lee,5.0,1.0,11.0,7.0,-1.0,-1.0
2020-02-15,12073,Leon,6.0,3.0,28.0,-4.0,2.0,-1.0
2020-02-15,12075,Levy,2.0,-9.0,9.0,,5.0,
2020-02-15,12077,Liberty,,0.0,,,,
2020-02-15,12079,Madison,0.0,-5.0,,9.0,-9.0,
2020-02-15,12081,Manatee,2.0,2.0,10.0,23.0,-2.0,-1.0
2020-02-15,12083,Marion,2.0,-2.0,24.0,13.0,0.0,-1.0
2020-02-15,12085,Martin,4.0,1.0,-16.0,15.0,-1.0,0.0
2020-02-15,12086,Miami-Dade,-5.0,-7.0,-18.0,-6.0,-2.0,1.0
2020-02-15,12087,Monroe,7.0,15.0,4.0,7.0,-1.0,0.0
2020-02-15,12089,Nassau,10.0,2.0,7.0,51.0,2.0,-1.0
2020-02-15,12091,Okaloosa,9.0,1.0,56.0,16.0,0.0,-1.0
2020-02-15,12093,Okeechobee,7.0,2.0,26.0,3.0,-1.0,
2020-02-15,12095,Orange,7.0,3.0,22.0,1.0,1.0,-1.0
2020-02-15,12097,Osceola,9.0,4.0,13.0,10.0,1.0,-1.0
2020-02-15,12099,Palm Beach,0.0,0.0,-4.0,4.0,-1.0,1.0
